account.basicInfo.status|Account Status
coverGenerator.help.prompt4|提及艺术风格：如"水墨画风"、"油画质感"、"动漫风格"
coverGenerator.help.promptTitle|提示词编写技巧
coverGenerator.help.quality1|提供准确的书名和作者信息
coverGenerator.help.quality2|选择符合小说类型的风格和配色
coverGenerator.help.quality3|使用详细的提示词描述想要的场景
coverGenerator.help.quality4|避免在负面提示词中描述过多内容
coverGenerator.help.qualityTitle|如何生成高质量封面？
coverGenerator.help.quickStart1|选择已有项目或填写小说标题
coverGenerator.help.quickStart2|选择小说类型和封面风格
coverGenerator.help.quickStart3|点击模板按钮快速加载提示词
coverGenerator.help.quickStart4|点击生成按钮开始制作封面
coverGenerator.help.quickStart5|查看结果并下载满意的封面
coverGenerator.help.quickStartTitle|快速开始
coverGenerator.help.title|使用帮助
coverGenerator.history|生成历史
coverGenerator.history.clear|清空
coverGenerator.history.empty|暂无生成历史
coverGenerator.imageSize|图片尺寸
coverGenerator.modal.close|关闭
coverGenerator.modal.download|下载
coverGenerator.modal.generatedAt|生成时间
coverGenerator.modal.prompt|提示词
coverGenerator.modal.size|尺寸
coverGenerator.modal.title|封面详情
coverGenerator.negativePrompt|负面提示词
coverGenerator.negativePrompt.placeholder|不希望出现的内容...
coverGenerator.novelGenre|小说类型
coverGenerator.novelGenre.placeholder|请选择类型
coverGenerator.novelTitle|小说标题
coverGenerator.novelTitle.hint|建议 10-30 个字符
coverGenerator.novelTitle.placeholder|请输入小说标题
coverGenerator.preview|封面预览
coverGenerator.preview.ready|准备生成
coverGenerator.preview.readyDesc|填写信息后点击生成按钮
coverGenerator.promptTemplates|提示词模板
coverGenerator.regenerate|重新生成
coverGenerator.results|生成结果
coverGenerator.results.count|{count} 张
coverGenerator.results.empty|生成的封面将显示在这里
coverGenerator.selectAll|全选
coverGenerator.selectProject|选择项目
coverGenerator.selectProject.default|-- 请选择小说项目 --
coverGenerator.selectProject.hint|选择项目后可自动填充标题和提示词
coverGenerator.size.1k|1K (1024×1024) - 推荐
coverGenerator.size.2k|2K (2048×2048) - 高清
coverGenerator.style.classical|古典唯美
coverGenerator.style.modern|现代简约
coverGenerator.style.mystery|神秘悬疑
coverGenerator.style.passion|热血激燃
coverGenerator.style.scifi|科幻未来
coverGenerator.style.urban|都市时尚
coverGenerator.style.warm|温暖治愈
coverGenerator.style.xianxia|古风仙侠
coverGenerator.styleSettings|风格设置
coverGenerator.subtitle|AI 智能生成精美小说封面，支持多种风格和配色方案
coverGenerator.template.fantasy|玄幻
coverGenerator.template.historical|历史
coverGenerator.template.martial|武侠
coverGenerator.template.mystery|悬疑
coverGenerator.template.scifi|科幻
coverGenerator.template.urban|都市
coverGenerator.tip.prompt|详细描述效果
coverGenerator.tip.prompt.desc|在自定义提示词中详细描述场景、人物、色调等
coverGenerator.tip.retry|多次尝试优化
coverGenerator.tip.retry.desc|根据生成结果调整参数，多次生成选择最佳效果
coverGenerator.tip.style|风格匹配类型
coverGenerator.tip.style.desc|选择与小说类型匹配的封面风格，能更好地吸引目标读者
coverGenerator.tip.title|标题简洁有力
coverGenerator.tip.title.desc|封面标题建议控制在 10-30 个字符内，确保清晰可读
coverGenerator.tips|使用技巧
coverGenerator.title|小说封面生成器
coverMaker.alert.generateFirst|Please generate default prompt first
coverMaker.alert.selectNovel|Please select a novel first
coverMaker.btn.download|Download Cover
coverMaker.btn.generate|Generate Cover
coverMaker.color.blue|Blue & Purple
coverMaker.color.gold|Gold & Orange
coverMaker.color.green|Cyan & Green
coverMaker.color.purple|Purple Tone
coverMaker.color.red|Pink Tone
coverMaker.error.generateFailed|Failed to generate cover
coverMaker.error.loadFailed|Loading failed
coverMaker.form.author|Author Name
coverMaker.form.style|Cover Style
coverMaker.form.title|Novel Title
coverMaker.gallery.count|{count} Covers
coverMaker.gallery.empty.desc|Select a novel and configure cover settings, then click "Start Generating" to create your first cover
coverMaker.gallery.empty.icon|🎨
coverMaker.gallery.empty.title|No Cover Works Yet
coverMaker.generate.loading|Generating cover, please wait...
coverMaker.genre.ancient_creative|Ancient Creative
coverMaker.genre.anime_derivative|Anime Fanfiction
coverMaker.genre.entertainment|Entertainment Industry
coverMaker.genre.fantasy|Fantasy Cultivation
coverMaker.genre.fantasy_creative|Fantasy Creative
coverMaker.genre.fantasy_romance|Fantasy Romance
coverMaker.genre.farming|Countryside Life
coverMaker.genre.female_derivative|Female Fanfiction
coverMaker.genre.female_leads|Female CP
coverMaker.genre.female_suspense|Female Suspense
coverMaker.genre.game|Game Competition
coverMaker.genre.historical|Historical Costume
coverMaker.genre.historical_ancient|Ancient History
coverMaker.genre.historical_creative|Creative History
coverMaker.genre.male_derivative|Male Fanfiction
coverMaker.genre.male_leads|Male CP
coverMaker.genre.military|Military War
coverMaker.genre.modern_creative|Modern Creative
coverMaker.genre.palace_intrigue|Palace Intrigue
coverMaker.genre.period|Period Drama
coverMaker.genre.quick_transmigration|Quick Transmigration
coverMaker.genre.republican_romance|Republican Era Romance
coverMaker.genre.romance|Romance Novel
coverMaker.genre.scifi|Sci-Fi Future
coverMaker.genre.scifi_apocalypse|Sci-Fi Apocalypse
coverMaker.genre.suspense|Suspense Mystery
coverMaker.genre.suspense_creative|Creative Suspense
coverMaker.genre.suspense_supernatural|Supernatural Suspense
coverMaker.genre.sweet_romance|Sweet Youth Romance
coverMaker.genre.traditional_fantasy|Traditional Fantasy
coverMaker.genre.urban|Urban Romance
coverMaker.genre.urban_creative|Urban Creative
coverMaker.genre.urban_cultivation|Urban Cultivation
coverMaker.genre.urban_daily|Urban Daily
coverMaker.genre.urban_farming|Urban Farming
coverMaker.genre.urban_martial|Urban Martial Arts
coverMaker.genre.war_god_son|War God Son-in-law
coverMaker.genre.war_spy|War Spy
coverMaker.genre.wealthy_president|Wealthy CEO
coverMaker.genre.western_fantasy|Western Fantasy
coverMaker.genre.workplace_marriage|Workplace Romance
coverMaker.genre.wuxia|Wuxia Martial Arts
coverMaker.selectNovel.empty.icon|📝
coverMaker.selection.copy|📋 Copy Covers to Novel Directory
coverMaker.selection.count|Selected {count} Covers
coverMaker.settings.count.1|Generate 1 Cover
coverMaker.settings.count.2|Generate 2 Covers
coverMaker.settings.count.3|Generate 3 Covers
coverMaker.settings.count.4|Generate 4 Covers
coverMaker.settings.count.title|Generation Count
coverMaker.settings.genre.placeholder|Please select genre
coverMaker.settings.novelTitle.placeholder|Please select a novel first
coverMaker.settings.prompt.copy|📋 Copy to Custom
coverMaker.settings.prompt.generated|Generated Professional Prompt
coverMaker.settings.prompt.generated.help|This is a professional-level prompt generated from the complete template, including all necessary configurations and constraints to ensure high-quality cover design
coverMaker.settings.prompt.genreSelect|Select Novel Genre
coverMaker.settings.prompt.help|Tip: Describe in detail the cover effect you want. AI will generate a customized cover based on your requirements. You can modify based on the default prompt.
coverMaker.settings.prompt.placeholder|Enter your custom cover design requirements, such as scene, elements, atmosphere...
coverMaker.settings.prompt.presets.action|Action
coverMaker.settings.prompt.presets.dark|Dark
coverMaker.settings.prompt.presets.elegant|Elegant
coverMaker.settings.prompt.presets.epic|Epic
coverMaker.settings.prompt.presets.mysterious|Mysterious
coverMaker.settings.prompt.presets.romantic|Romantic
coverMaker.settings.prompt.presets.title|Quick Presets
coverMaker.settings.size.1K|1K (1024x1024)
coverMaker.settings.size.2K|2K (2048x2048)
coverMaker.settings.size.title|Image Size
coverMaker.settings.watermark|Add Watermark
coverMaker.step.customize|Customize Design
coverMaker.step.download|Download Cover
coverMaker.step.template|Select Template
coverMaker.success.copied|Copied default prompt to custom editor, you can now modify it
coverMaker.success.foundCovers|Found {count} existing covers
coverMaker.success.generated|Successfully generated {count} covers!
coverMaker.view.author|Author
coverMaker.view.download|Download original
coverMaker.view.generatedAt|Generated at
coverMaker.view.select|Select this cover
coverMaker.view.selected|Selected
dashboard.detail.chapters|Chapter Details
dashboard.detail.scoreDist|Quality Score Distribution
dashboard.stat.avgScore|Avg Quality Score
dashboard.stat.chapters|Chapters Generated
dashboard.stat.progress|Progress
dashboard.stat.thisSession|↑ This Session
dashboard.stat.words|Total Words
dashboard.subtitle|View your creation statistics and analysis
dashboard.table.action|Action
dashboard.table.chapter|Chapter
dashboard.table.score|Score
dashboard.table.status|Status
dashboard.table.title|Title
dashboard.table.words|Words
dashboard.title|📊 Dashboard
export.json|Export JSON
export.title|Export
export.txt|Export TXT
export.zip|Package ZIP
footer.contact|Contact Us
footer.help|Help Center
footer.link.pro|Pro Membership
footer.privacy|Privacy Policy
footer.terms|Terms of Use
gen.download|Download
gen.preview|Preview
gen.progress|Generation Progress
gen.regenerate|Regenerate
gen.start|Start Generation
gen.status.completed|Completed
gen.status.failed|Failed
gen.status.processing|Processing
gen.status.waiting|Waiting
gen.stop|Stop Generation
help.card.guide.desc|Learn how to write effective prompts for AI-generated content.
help.card.guide.title|Creation Guide
help.card.project.desc|Master project creation, editing, continuation, and export.
help.card.project.title|Project Management
help.card.quickStart.desc|Learn how to create your first AI novel project, from idea to finished work.
help.card.quickStart.title|Quick Start
help.card.settings.desc|Configure account info, change password, and manage preferences.
help.card.settings.title|System Settings
help.faq.title|FAQ
help.moreHelp.contact|Contact Support
help.moreHelp.desc|Contact us if you have other questions
help.moreHelp.title|Need More Help?
help.subtitle|Learn how to use Da Wenyu features
help.title|Help Center
home.continue|Continue Creating
home.createNew|Create New Work
home.recentWorks|Recent Works
home.viewAll|View All
home.welcome|Welcome back
landing.chooseEntry|Choose Creation Entry
landing.cta.learnMore|📖 Learn More
landing.cta.start|🚀 Start Creating
landing.description|Novels · Videos · Anime · One-stop creation experience
landing.description.full|Da Wenyu provides full-process AI-assisted creation tools, from idea to finished product, making creation simple and efficient
landing.feature.efficient|Efficient
landing.feature.precise|Precise
landing.feature.secure|Secure
landing.feature.updated|Updated
landing.features.title|FEATURES
landing.features.why|Why Choose Da Wenyu
landing.novel.desc|AI-powered intelligent novel generation system
landing.novel.enter|Enter →
landing.novel.features|Two-phase · Smart Worldview
landing.novel.title|Novel Creation
landing.quickStart|QUICK START
landing.stats.ai|AI Powered
landing.stats.platform|Platform
landing.stats.tools|Creation Tools
landing.subtitle|Turn ideas into works with AI
landing.video.desc|Multi-modal video generation system
landing.video.enter|Enter →
landing.video.features|Multi-mode · Auto Edit
landing.video.title|Video Production
login.demoAccount|Demo Account
login.error.empty|Please enter username and password
login.error.invalid|Invalid username or password
login.forgot|Forgot password?
login.noAccount|还没有账号？
login.password|Password
login.password.placeholder|Enter password
login.register|Register Now
login.remember|Remember me
login.submit|Login
login.subtitle|Login to continue your creation
login.success|Login successful!
login.title|Welcome Back
login.username|Username
login.username.placeholder|Enter username
nav.newCreate|New Creation
novel.backToList|Back to List
novel.category|Category
novel.create.title|Create New Novel
novel.export|Export
novel.lineHeight.compact|Compact
novel.lineHeight.loose|Loose
novel.print|Print
novel.readingSettings.fontSize|Font Size:
novel.readingSettings.lineHeight|Line Height:
novel.readingSettings.theme|Theme:
novel.readingSettings.title|Reading Settings
novel.selectChapter|Select Chapter to Read
novel.selectChapterHint|Click on chapter list to select
novel.selectChapterPrompt|Please select a chapter from the left to start reading
novel.settings|Settings
novel.sidebar.chapterNav|Chapters
novel.sidebar.coreSetting|Core Setting
novel.sidebar.info|Novel Info
novel.sidebar.progress|Progress
novel.sidebar.sellingPoints|Selling Points
novel.sidebar.status|Status
novel.sidebar.title|Title
novel.synopsis|Synopsis
novel.synopsis.placeholder|Briefly describe your novel...
novel.tags|Tags
novel.theme.dark|Dark
novel.theme.light|Light
novel.theme.sepia|Sepia
novel.title|Novel Title
novel.title.placeholder|Enter novel title
paymentSuccess.amount|Amount
paymentSuccess.backHome|Back to Home
paymentSuccess.balance|Current Balance
paymentSuccess.continue|Continue Recharging
paymentSuccess.message|Your points have been added. Start creating now!
paymentSuccess.orderId|Order ID
paymentSuccess.points|Points Received
paymentSuccess.title|Payment Successful!
phase1.badge|Phase 1: Setup Generation
phase1.btn.reset|🔄 重置
phase1.btn.start|🚀 开始生成设定
phase1.field.chapters|总章节数
phase1.field.coreSetting|核心设定
phase1.field.coreSetting.hint|建议300字以上，越详细生成效果越好
phase1.field.coreSetting.placeholder|描述世界背景、特殊规则、主角金手指等...
phase1.field.mode|生成模式
phase1.field.mode.fullTwoPhase|🚀 完整两阶段（设定+章节）
phase1.field.mode.phaseOneOnly|✨ 仅第一阶段（生成设定）
phase1.field.mode.resume|🔄 恢复模式
phase1.field.platform|目标平台
phase1.field.platform.fanqie|🍅 番茄小说
phase1.field.platform.qidian|📚 起点中文网
phase1.field.platform.zhihu|💭 知乎盐选
phase1.field.sellingPoints|核心卖点
phase1.field.sellingPoints.placeholder|例如：无敌流、系统流、复仇爽文...
phase1.field.synopsis|小说简介
phase1.field.synopsis.hint|建议50-200字，概括故事核心冲突
phase1.field.synopsis.placeholder|简要描述故事主线...
phase1.field.title|小说标题
phase1.field.title.placeholder|请输入小说标题
phase1.form.title|Creative Input & Configuration
phase1.guide.bestPractice.desc|• Describe core settings in detail (300+ words recommended)<br>• Clarify main selling points and features<br>• Plan chapter count reasonably (20-100 chapters recommended)<br>• Generate settings first, review before continuing
phase1.guide.bestPractice.title|💡 Best Practices
phase1.guide.content.desc|• World-building and background story<br>• Main character design and personality traits<br>• Story development stage planning<br>• Detailed chapter outlines<br>• Emotional threads and foreshadowing
phase1.guide.content.title|⚙️ Generated Content
phase1.guide.goal.desc|Generate complete world-building, character design and detailed story outline to provide a high-quality foundation for subsequent chapter generation.
phase1.guide.goal.title|🎯 Phase 1 Goal
phase1.guide.nextSteps.desc|After Phase 1 completes, you can:<br>• Continue to Phase 2 chapter generation<br>• Save project and continue later<br>• View and edit generated settings<br>• Adjust parameters and regenerate
phase1.guide.nextSteps.title|🔄 Next Steps
phase1.guide.title|Instructions
phase1.points|创造点
phase1.points.cost|创造点消耗
phase1.points.estimated|预估中
phase1.points.hint|余额≥75点可开始生成，实际按API调用实时扣费
phase1.points.min|最低门槛
phase1.progress.message|初始化中...
phase1.progress.steps|详细步骤进度
phase1.progress.stop|停止生成
phase1.progress.title|正在生成设定...
phase1.result.continue|继续第二阶段
phase1.result.desc|您可以查看、编辑生成结果，或继续第二阶段
phase1.result.edit|编辑设定
phase1.result.regenerate|重新生成
phase1.result.title|设定生成完成
phase1.resume.continue|继续生成
phase1.resume.desc|您有未完成的设定生成任务
phase1.resume.new|开始新创作
phase1.resume.progress|已生成
phase1.resume.title|继续生成
phase1.resume.updated|最后更新
phase1.sidebar.create|创建新创意
phase1.sidebar.my|我的创意
phase1.sidebar.system|系统推荐创意
phase1.sidebar.title|创意灵感
phase1.step.complete|进入第二阶段
phase1.step.generation|设定生成
phase1.step.input|创意输入
phase1.step.preview|结果预览
phase1.subtitle|Generate complete world-building, character design and story outline
phase1.title|Two-Phase Novel Generation
phase2.btn.start|Start Generation
phase2.field.batchSize|Batch Size
phase2.field.chapterCount|Chapter Count
phase2.field.model|AI Model
phase2.field.startChapter|Start Chapter
phase2.guide.tips|Generation Tips
phase2.guide.title|Design Blueprint
phase2.progress.steps|Detailed Step Progress
phase2.progress.title|Generating chapters...
phase2.project.placeholder|Please select a novel project to continue
phase2.result.complete|Chapter Generation Complete
phase2.result.continue|Continue Generating More
phase2.result.title|Export Results
phase2.step.config|Design Blueprint
phase2.step.generate|Chapter Generation
phase2.step.preview|Chapter Reading
phase2.step.select|Select Project
phase2.subtitle|Batch generate high-quality novel chapters based on Phase 1 design settings
phase2.title|Phase 2: Chapter Generation
privacy.lastUpdated|Last updated: March 5, 2026
privacy.subtitle|We value your privacy. Learn how we collect, use and protect your information
privacy.title|Privacy Policy
recharge.alipay|Alipay
recharge.currentBalance|Current Balance
recharge.customAmount|Custom Amount
recharge.customAmount.placeholder|Enter amount (0.01-5000)
recharge.instructions.title|Instructions
recharge.modal.completed|Payment Completed
recharge.modal.orderAmount|Amount:
recharge.modal.title|Alipay QR Payment
recharge.orderId|Order ID:
recharge.payMethod|Payment Method
recharge.points|Points
recharge.recentOrders|Recent Orders
recharge.rechargeNow|Recharge Now
recharge.recommended|Recommended
recharge.selectAmount|Select Amount
recharge.subtitle|Recharge points to unlock more features
recharge.title|Recharge Center
recharge.totalEarned|Total Earned:
recharge.totalSpent|Total Spent:
register.agreement|I agree to the
register.and|and
register.confirmPassword|Confirm Password
register.confirmPassword.placeholder|Enter password again
register.email|Email (Optional)
register.email.placeholder|Enter email address
register.error.email.invalid|Invalid email format
register.error.generic|Registration failed, please try again later
register.error.password.empty|Please enter password
register.error.password.length|Password must be at least 6 characters
register.error.password.mismatch|Passwords do not match
register.error.terms|Please agree to Terms of Service and Privacy Policy
register.error.username.empty|Please enter username
register.error.username.format|Username can only contain letters, numbers and underscores
register.error.username.length|Username must be 3-20 characters
register.error.username.taken|This username is already taken
register.haveAccount|Already have an account?
register.inviteCode|Invite Code (Optional)
register.inviteCode.placeholder|Have an invite code? Enter for extra rewards
register.login|Login Now
register.password|Password
register.password.hint|Password must be at least 6 characters
register.password.medium|Medium
register.password.placeholder|Enter password (at least 6 characters)
register.password.strong|Strong
register.password.weak|Weak
register.privacy|Privacy Policy
register.reward|Get 88 Creation Points FREE
register.submit|Create Account
register.subtitle|Start Your AI Creation Journey
register.success|Registration successful! Redirecting...
register.terms|Terms of Service
register.title|Create Account
register.username|Username
register.username.checking|Checking...
register.username.hint|Username available
register.username.placeholder|Enter username (3-20 characters)
settings.advanced.title|⚙️ Advanced
settings.autoSave|Auto Save
settings.autoSave.desc|Automatically save drafts while editing
settings.comingSoon|Coming Soon
settings.creation.title|✍️ Creation Settings
settings.dataShare|Data Sharing
settings.dataShare.desc|Contribute anonymous data to improve AI
settings.defaultMode|Default Generation Mode
settings.defaultMode.desc|Choose default mode for chapter generation
settings.devMode|Developer Mode
settings.devMode.desc|Show debug info and API logs
settings.emailNotify|Email Notifications
settings.emailNotify.desc|Receive important updates and reminders
settings.experimental|Experimental Features
settings.experimental.desc|Experience new features early
settings.generationNotify|Generation Complete
settings.generationNotify.desc|Notify me when AI generation is complete
settings.mode.batch|Batch Mode
settings.mode.refined|Refined Mode
settings.notification.title|🔔 Notifications
settings.privacy.title|🔒 Privacy
settings.publicWorks|Public Works
settings.publicWorks.desc|Allow other users to view your works
shortDramaStudio.btn.newScript|新建剧本
shortDramaStudio.btn.preview|预览
shortDramaStudio.btn.storyboard|生成分镜
shortDramaStudio.section.scripts|剧本管理
shortDramaStudio.section.shots|镜头库
shortDramaStudio.section.storyboard|分镜管理
shortDramaStudio.subtitle|一站式短剧创作平台
shortDramaStudio.title|短剧工作台
step.character_design|Character Design
step.creative_refinement|Creative Refinement
step.detailed_stage_plans|Detailed Plans
step.emotional_blueprint|Emotional Blueprint
step.emotional_growth_planning|Emotional Blueprint & Growth Plan
step.expectation_mapping|Expectation Mapping
step.faction_system|Faction System
step.fanfiction_detection|Fanfiction Detection
step.freshness_assessment|Freshness Assessment
step.growth_plan|Growth Plan
step.market_analysis|Market Analysis
step.multiple_plans|Plan Generation
step.plan_selection|Plan Selection
step.quality_assessment|Quality Assessment
step.saving|Saving Results
step.stage_plan|Stage Plan
step.system_init|System Init
step.worldview|World Building
step.writing_style|Writing Style
terms.lastUpdated|Last updated: March 5, 2026
terms.subtitle|Please read these terms carefully. Using this service means you agree to them
terms.title|Terms of Use
workspace.card.browse|Browse →
workspace.card.coverMaker.desc|Generate beautiful AI cover designs for your novel, supporting multiple styles and sizes.
workspace.card.coverMaker.tag|AI Design · One-click
workspace.card.coverMaker.title|Cover Maker
workspace.card.create|Create →
workspace.card.creativeLib.desc|Choose from preset creative ideas to quickly start creation. Multiple genre templates available.
workspace.card.creativeLib.tag|12 Creative Templates
workspace.card.creativeLib.title|Creative Library
workspace.card.enter|Enter →
workspace.card.fanqieUpload.desc|One-click upload to Fanqie Novel platform, supporting batch upload and auto-publish.
workspace.card.fanqieUpload.tag|One-click · Auto-publish
workspace.card.fanqieUpload.title|Fanqie Upload
workspace.card.projectMgmt.desc|Manage all novel projects, view progress, continue generation, export works. Support multiple projects.
workspace.card.projectMgmt.tag|View Progress · Continue Creation
workspace.card.projectMgmt.title|Project Management
workspace.card.start|Start →
workspace.card.twoPhase.desc|From concept to content, AI assists the entire process. Generate world-building first, then chapters in batch.
workspace.card.twoPhase.tag|Smart Setup · Batch Generation
workspace.card.twoPhase.title|Two-Phase Generation
workspace.card.upload|Upload →
workspace.card.view|View →
workspace.card.viewWorks.desc|Browse and manage created novel chapters, support online reading, editing and exporting.
workspace.card.viewWorks.tag|Online Reading · Edit & Export
workspace.card.viewWorks.title|View Works
workspace.continueSection.emptyDesc|You have no projects with completed phase one setup
workspace.continueSection.emptyTitle|No Pending Projects
workspace.continueSection.label|Continue
workspace.continueSection.loading|Loading projects...
workspace.continueSection.startNew|Start New Creation
workspace.continueSection.subtitle|These projects have completed phase one setup and are ready for chapter generation
workspace.continueSection.title|Continue Generation
workspace.quickActions.label|Quick Actions
workspace.quickActions.title|Quick Start
workspace.stat.chapters|Chapters
workspace.stat.points|Points
workspace.stat.projects|Projects
workspace.subtitle|Choose a tool and let AI help you realize your ideas
workspace.title|Start Your Creation Journey
workspace.welcome|Welcome back, {{username}}
